Date,Open,High,Low,Close,Adj Close,Volume
17-04-2023,2238.228027,2238.228027,2168.172363,2185.155518,2170.098389,8964739
13-04-2023,2171.818115,2183.632568,2161.665283,2174.125732,2159.144775,6189104
12-04-2023,2156.450195,2185.478516,2150.635498,2165.957275,2151.032471,9089543
11-04-2023,2154.28125,2160.742188,2145.097412,2156.450195,2141.59082,5271183
10-04-2023,2169.049316,2169.418457,2142.789795,2145.835693,2131.049561,6480704
06-04-2023,2139.651611,2172.741211,2139.651611,2161.157471,2146.265625,9217523
05-04-2023,2167.203125,2167.203125,2130.791016,2146.758789,2131.966309,8131464
03-04-2023,2164.434326,2168.126221,2136.744141,2151.92749,2137.099609,5146521
31-03-2023,2081.364258,2163.003662,2081.087402,2151.55835,2136.73291,14085600
29-03-2023,2066.596191,2071.949707,2040.844604,2062.627441,2048.414551,9402032
28-03-2023,2072.134277,2082.748779,2064.750244,2074.90332,2060.605957,6288212
27-03-2023,2046.751831,2080.441162,2030.783936,2065.257813,2051.026855,7027161
24-03-2023,2072.36499,2076.749268,2028.753296,2033.645142,2019.63208,6187972
23-03-2023,2093.363281,2095.116943,2070.334473,2074.71875,2060.422607,8124685
22-03-2023,2109.054199,2115.007568,2095.209229,2101.301025,2086.822021,5460047
21-03-2023,2048.090088,2098.901367,2046.290283,2094.932373,2080.496826,10700180
20-03-2023,2044.444336,2049.059326,2012.139282,2031.753052,2017.75293,9762294
17-03-2023,2071.903564,2078.549072,2042.321411,2051.920654,2037.781738,17007106
16-03-2023,2070.28833,2080.441162,2032.629883,2054.504883,2040.348022,9181579
15-03-2023,2108.223633,2121.330078,2055.889404,2064.796387,2050.568604,10864277
14-03-2023,2104.439209,2127.468018,2094.33252,2100.701172,2086.226074,8013761
13-03-2023,2149.66626,2163.51123,2099.824219,2108.592773,2094.063232,6385796
10-03-2023,2161.203857,2163.51123,2136.790283,2143.851318,2129.078857,6667045
09-03-2023,2229.967285,2230.797852,2173.756592,2177.586914,2162.582031,8117564
08-03-2023,2223.229248,2232.736328,2201.354248,2231.213379,2215.838867,7891328
